titleCroatian,titleEnglish,genre,CEFR,croatian,english
Pakiram se za odmor,Packing for a Vacation,monologue,A1,Sutra idem na odmor i danas pakiram svoju torbu. Najprije stavljam majice i hlače. Zatim stavljam čarape i cipele. Ne zaboravljam četkicu za zube i sapun. Uzimam i knjigu jer volim čitati na plaži. Stavljam bocu vode i sunčane naočale u torbu. Provjeravam putovnicu i karte. Sada je torba puna i spremna. Veselim se svom odmoru!,Tomorrow I am going on vacation and today I am packing my bag. First I put in shirts and pants. Then I put in socks and shoes. I don’t forget my toothbrush and soap. I take a book because I like to read on the beach. I put a bottle of water and sunglasses in the bag. I check my passport and tickets. Now the bag is full and ready. I am looking forward to my vacation!
,Peer Gynt,drama,C,,
Promatranje ljudi na željezničkom kolodvoru,People-Watching in a Train Station,monologue,A2,"Jučer sam čekao vlak na željezničkom kolodvoru i imao sam mnogo vremena. Sjeo sam na klupu i počeo promatrati ljude oko sebe. Bilo je zanimljivo vidjeti koliko su svi različiti. Jedna obitelj je imala puno kofera i djeca su bila vrlo glasna. Mladi par je sjedio blizu i razgovarao tiho. Vidio sam i starijeg gospodina koji je čitao novine i mirno pio kavu. Neki ljudi su trčali jer nisu htjeli zakasniti na vlak, a drugi su stajali i gledali na sat. Promatranje ljudi mi je bilo zabavno jer svaka osoba ima svoju priču, a kolodvor je mjesto gdje se te priče na kratko sretnu.","Yesterday I waited for a train at the station and had a lot of time. I sat on a bench and started watching the people around me. It was interesting to see how different everyone was. One family had many suitcases and the children were very loud. A young couple sat nearby and spoke quietly. I also saw an older man who was reading a newspaper and calmly drinking coffee. Some people were running because they didn’t want to miss the train, and others stood still and looked at the clock. Watching people was fun because each person has their own story, and the station is a place where those stories meet for a short moment."
,Personality Traits,psychology,B2,,
,Phoenixes,fantasy,B2,,
,Pizza,food,A2,,
,Planning a Day of Adventure,monologue,B1,,
,Political Parties in Norway,politics,A2,,
,Political Satire,politics,C,,
Politički sustavi u svijetu,Political Systems of the World,politics,A1,"U svijetu postoje različiti politički sustavi. Neke države imaju demokraciju. U demokraciji ljudi glasaju i biraju vladu. Druge države imaju kralja ili kraljicu. To se zove monarhija. Neke države imaju predsjednika, a neke premijera. U nekim državama ljudi nemaju izbor. Politički sustavi su različiti, ali cilj je upravljati državom.","In the world there are different political systems. Some countries have democracy. In a democracy people vote and choose the government. Other countries have a king or a queen. This is called a monarchy. Some countries have a president, and some have a prime minister. In some countries people have no choice. Political systems are different, but the goal is to govern the country."
Priprema za ispit,Preparing for an Exam,monologue,A2,"Sljedeći tjedan imam važan ispit i zato svaki dan učim. Ujutro pijem kavu i čitam bilješke iz škole. Zatim rješavam stare zadatke i ponavljam teške riječi. Ponekad idem u knjižnicu jer tamo mogu mirno raditi bez buke. Kada se umorim, napravim kratku pauzu i prošetam vani. Moj plan je učiti tri sata ujutro i dva sata navečer. Najviše se bojim gramatike, pa je ponavljam svaki dan. Znam da je priprema duga i ponekad dosadna, ali vjerujem da ću uspjeti ako radim redovito.","Next week I have an important exam, so I study every day. In the morning I drink coffee and read notes from school. Then I solve old exercises and repeat difficult words. Sometimes I go to the library because there I can work quietly without noise. When I get tired, I take a short break and walk outside. My plan is to study three hours in the morning and two hours in the evening. I am most afraid of grammar, so I repeat it every day. I know that preparation is long and sometimes boring, but I believe I will succeed if I work regularly."
,Procrastination,psychology,B2,,
,Public Transit Maps,travel,B1,,
,Queer Life in Norway,culture,B2,,
,Recycling,technology,A2,,
,Regional Differences in Norwegian,language,A2,,
,Regret,psychology,B1,,
,Rome,travel,A2,,
,Sapiens,history,B2,,
,Scandinavian Design,culture,B2,,
,Secret Passageways,fantasy,B1,,
,Self-Driving Cars,technology,A2,,
,Seoul,travel,A2,,
,September in Norway,culture,A2,,
,Shopping for Clothes,dialogue,A2,,
,Shopping for Edible Souvenirs,dialogue,A1,,
Kupujem namirnice,Shopping for Groceries,monologue,A1,"Danas idem u trgovinu kupiti namirnice. Uzimam košaru i hodam kroz trgovinu. Kupujem kruh, mlijeko i sir. Uzimam i jabuke, banane i naranče. Trebam i rižu i tjesteninu. Na kraju idem na blagajnu i plaćam sve. Stavljam stvari u vrećicu i vraćam se kući. Sretan sam jer imam sve što trebam za ručak i večeru.","Today I am going to the store to buy groceries. I take a basket and walk through the store. I buy bread, milk, and cheese. I also take apples, bananas, and oranges. I need rice and pasta too. At the end I go to the checkout and pay for everything. I put the things in a bag and return home. I am happy because I have everything I need for lunch and dinner."
,Sigmund Freud,biography,C,,
,Simple Pleasures,monologue,A2,,
Jednostavni savjeti za bolji san,Simple Tips for Better Sleep,health,A1,"Za dobar san važno je ići u krevet svaku večer u isto vrijeme. Soba treba biti tiha i tamna. Nije dobro piti kavu ili energetska pića prije spavanja. Prije sna je bolje čitati knjigu ili slušati mirnu glazbu nego gledati televiziju. Ako spavamo osam sati svake noći, osjećamo se odmorno i imamo više energije tijekom dana.","For good sleep it is important to go to bed every evening at the same time. The room should be quiet and dark. It is not good to drink coffee or energy drinks before sleeping. Before sleep it is better to read a book or listen to calm music than to watch television. If we sleep eight hours every night, we feel rested and have more energy during the day."
,Smart Cities,technology,B1,,
,Smart Homes,technology,A2,,
,Smartphones,technology,B2,,
,Social Anxiety,psychology,B1,,
,Social Media,technology,B2,,
,Social Welfare States,politics,C,,
,Socrates' Quest for Truth,philosophy,B2,,
,Socratic Philosophy,philosophy,C,,
,Spirited Away,fantasy,A1,,
,Staple Foods,food,B2,,
Biti aktivan u kući,Staying Active Indoors,health,A1,"Kada smo u kući, možemo ostati aktivni na jednostavne načine. Možemo raditi lagane vježbe, kao što su istezanje, čučnjevi ili sklekovi. Ples uz glazbu je također dobra vježba i zabava. Neki ljudi koriste sobni bicikl ili traku za trčanje. Čišćenje kuće, usisavanje i pranje podova također pomažu tijelu da se kreće. Važno je svaki dan malo vježbati, iako smo u kući.","When we are at home, we can stay active in simple ways. We can do light exercises, such as stretching, squats, or push-ups. Dancing to music is also good exercise and fun. Some people use an exercise bike or treadmill. Cleaning the house, vacuuming, and washing floors also help the body move. It is important to exercise a little every day, even if we are at home."
,Stoicism,philosophy,B1,,
,Stories Within Stories,drama,B1,,
,Street Food,food,A2,,
,Superfoods,health,B1,,
Sushi,Sushi,food,A1,"Sushi je japansko jelo. On se pravi od riže, ribe i povrća. Ponekad sushi ima i jaje ili alge. Sushi može biti sirov ili kuhan. U Japanu ljudi često jedu sushi, ali i u drugim državama je popularan. Sushi se jede štapićima ili rukom. Mnogi ljudi vole sushi jer je ukusan i zdrav.","Sushi is a Japanese dish. It is made from rice, fish, and vegetables. Sometimes sushi has egg or seaweed. Sushi can be raw or cooked. In Japan people often eat sushi, but it is also popular in other countries. Sushi is eaten with chopsticks or with the hand. Many people like sushi because it is tasty and healthy."
,Sustainable Seafood,food,B1,,
,Symbolism in Everyday Objects,drama,A2,,
,"Synecdoche, New York",psychology,C,,
,Tactile Learning,psychology,B1,,
,Terraforming Mars,science fiction,B2,,
,The Airport Check-In,dialogue,B1,,
,The Airport Security Check,dialogue,A1,,
,The Allegory of the Cave,philosophy,B2,,
,The Allure of Hidden Places,psychology,B2,,
,The Bakery,dialogue,A1,,
,The Banality of Evil,philosophy,C,,
,The Basics of Coding,technology,B1,,
,The Beach,dialogue,A1,,
,The Beatles,culture,A2,,
,The Berlin Wall,history,B1,,
,The Big Bang Theory,science,B1,,
,The Bookstore,dialogue,A1,,
,The Cabin in the Dark,horror,B2,,
,The Campsite,dialogue,A1,,
,The Cat Cafe,dialogue,A1,,
,The Centre Party,politics,C,,
,The Christian Democratic Party,politics,C,,
,The City in the Trees,fantasy,B2,,
,The Cold War,history,B2,,
,The Constitution of Norway,politics,C,,
,The Convenience Store,dialogue,A1,,
,The Crisis of Masculinity,culture,B2,,
,The Currency Exchange,dialogue,B1,,
,The Cursed Mirror,horror,A1,,
,The Doctor's Office,dialogue,A1,,
,The Dunning–Kruger Effect,psychology,B1,,
,The Electronics Store,dialogue,A1,,
,The Evening by the Fjord,dialogue,B2,,
,The Fear of Missing Out,psychology,B2,,
Prvi dan na novom poslu,The First Day at a New Job,monologue,A1,"Danas je moj prvi dan na novom poslu. Ujutro sam se obukao uredno i došao ranije. Upoznajem nove kolege i svi su ljubazni. Šef mi pokazuje ured i moj stol. Imam mnogo novih stvari za naučiti, ali trudim se slušati i zapisivati. Malo sam nervozan, ali i sretan. Na pauzi pijem kavu s kolegama i razgovaramo. Na kraju dana osjećam se umorno, ali ponosno. Moj prvi dan na poslu bio je dobar.","Today is my first day at a new job. In the morning I dressed neatly and arrived early. I meet new colleagues and everyone is kind. The boss shows me the office and my desk. I have many new things to learn, but I try to listen and take notes. I am a little nervous, but also happy. During the break I drink coffee with colleagues and we talk. At the end of the day I feel tired but proud. My first day at work was good."
,The Good Life,philosophy,C,,
,The Grand Canyon,travel,A2,,
,The Great Wall of China,travel,A2,,
,The Green Party,politics,C,,
,The Hero’s Journey,fantasy,B1,,
Skriveno blago,The Hidden Treasure,monologue,A1,"Jednog dana šetam u šumi. Vidim stari sanduk pod drvetom. Otvaram sanduk i unutra je blago. U njemu su zlatne kovanice i nakit. Gledam oko sebe, ali nema nikoga. Uzmem malo blaga i stavim u džep. Osjećam se sretno i iznenađeno. Vraćam se kući i mislim na tajnu. To je moj mali skriveni blagdan iz šume.","One day I am walking in the forest. I see an old chest under a tree. I open the chest and inside is treasure. There are gold coins and jewelry in it. I look around, but there is no one. I take a little treasure and put it in my pocket. I feel happy and surprised. I return home and think about the secret. It is my little hidden treasure from the forest."
,The History of Disinformation,history,C,,
,The History of Maps,history,B1,,
,The Industrial Revolution,history,B1,,
,The Kafkaesque,drama,C,,
,The Legend of Zelda - Ocarina of Time,culture,C,,
,The Liberal Party,politics,C,,
,The Lives of Others,drama,B2,,
,The Lost Wallet,dialogue,A2,,
,The Mediterranean Diet,health,A2,,
,The Metamorphosis,drama,C,,
,The Movie Theater,dialogue,A1,,
,The Nation-State,politics,B2,,
,The Norse Gods,fantasy,B2,,
,The Old City of Jerusalem,travel,A2,,
,The Paradox of Choice,psychology,C,,
,The Pharmacy,dialogue,A1,,
,The Philosophy of Second Languages,philosophy,C,,
,The Placebo Effect,psychology,B2,,
,The Post Office,dialogue,A2,,
,The Psychology of Happiness,psychology,B1,,
,The Psychology of Loneliness,psychology,B2,,
,The Raven,horror,B2,,
,The Red Party,politics,C,,
,The Renaissance,history,B1,,
,The Restaurant,dialogue,A2,,
,The Role of Luck in History,history,A2,,
,The Role of Travel in Self-Discovery,travel,B2,,
,The Sámi People,culture,B1,,
,The Scream,culture,A2,,
Tajna vrata,The Secret Door,monologue,A1,"Jednog dana šetam u staroj kući. Odjednom vidim mala vrata iza ormara. Vrata su stara i zatvorena. Polako ih otvaram i vidim dugi hodnik. Hodam kroz hodnik i osjećam se malo uplašeno, ali i znatiželjno. Na kraju hodnika je mala soba. U sobi je stol i stara knjiga. Ne znam čija su ta vrata, ali čuvam tajnu za sebe.","One day I am walking in an old house. Suddenly I see a small door behind the closet. The door is old and closed. I slowly open it and see a long hallway. I walk through the hallway and feel a little scared but also curious. At the end of the hallway there is a small room. In the room there is a table and an old book. I don’t know whose door it is, but I keep the secret for myself."
,The Secret Energy of Plants,science,B1,,
,The Shining,horror,B1,,
,The Small Choices That Shape Us,dialogue,B1,,
,The Socialist Left Party,politics,C,,
Sunčev sustav,The Solar System,science,A1,"Sunčev sustav je veliki prostor u svemiru. U središtu je Sunce. Oko Sunca kruže planeti. Najbliži planet je Merkur, a zatim Venera, Zemlja i Mars. Poslije su Jupiter, Saturn, Uran i Neptun. Neki planeti imaju mjesece. Zemlja ima jedan mjesec. U Sunčevom sustavu ima i mnogo zvijezda, kamenja i leda. Sunčev sustav je naš dom u svemiru.","The Solar System is a large space in the universe. In the center is the Sun. Around the Sun move the planets. The closest planet is Mercury, then Venus, Earth, and Mars. After them are Jupiter, Saturn, Uranus, and Neptune. Some planets have moons. Earth has one moon. In the Solar System there are also many stars, rocks, and ice. The Solar System is our home in the universe."
,The Space Race,history,B2,,
,The Spanish Civil War,history,B2,,
,The Spanish Empire,history,B2,,
,The Taxi,dialogue,A1,,
,The Terrible Date,dialogue,A1,,
,The Theory of Evolution,science,B2,,
,The Three-Body Problem,science fiction,B1,,
,The Train Station,dialogue,A1,,
,The Truman Show,drama,B1,,
,The Uncanny Valley,psychology,B2,,
,The United Nations,politics,B2,,
Vikinško doba,The Viking Age,history,A1,"Vikinško doba bilo je prije mnogo stoljeća. Vikinzi su živjeli u Skandinaviji: u Norveškoj, Švedskoj i Danskoj. Oni su plovili morem u dugim brodovima i posjećivali mnoge zemlje. Neki su Vikinzi bili trgovci, a neki ratnici. Oni su gradili sela i bavili se poljoprivredom. Danas u muzejima možemo vidjeti vikinške brodove i oružje. Vikinško doba je važan dio povijesti Europe.","The Viking Age was many centuries ago. The Vikings lived in Scandinavia: in Norway, Sweden, and Denmark. They sailed the sea in long ships and visited many countries. Some Vikings were traders, and some were warriors. They built villages and did farming. Today in museums we can see Viking ships and weapons. The Viking Age is an important part of Europe’s history."
,The Weight of Ordinary Lives,dialogue,C,,
,The Wild Duck,drama,C,,
,The Wizard of Oz,fantasy,B1,,
,The Zombie,horror,A2,,
,Time Travel,fantasy,C,,
,Tiny Homes,culture,B1,,
Danasnje vrijeme,Today's Weather,monologue,A1,Danas je lijep dan. Sunce sja i nebo je plavo. Nema oblaka i nije hladno. Ljudi šetaju u parku i djeca se igraju. Ja idem van bez jakne jer je toplo. Pijem kavu na terasi i uživam u vremenu. Volim kada je dan ovako sunčan i miran.,Today is a beautiful day. The sun is shining and the sky is blue. There are no clouds and it is not cold. People are walking in the park and children are playing. I go outside without a jacket because it is warm. I drink coffee on the terrace and enjoy the weather. I like when the day is sunny and calm like this.
,Tokyo,travel,B2,,
,Tragic Flaws in Literature,drama,B1,,
,Trapped Inside,horror,A1,,
Putovanje sam u Hrvatskoj,Traveling Alone in Croatia,monologue,A2,"Prošlog ljeta putovao sam sam po Hrvatskoj. Bilo je uzbudljivo, ali i malo teško jer sam sve morao organizirati sam. Prvo sam bio u Zagrebu, gdje sam posjetio muzeje i šetao starim gradom. Nakon toga otišao sam vlakom u Split. Tamo sam uživao u moru, suncu i starim rimskim zidinama. Svaki dan sam upoznavao nove ljude, neki su bili turisti, a neki lokalni stanovnici. Ponekad sam se osjećao usamljen, ali često sam bio sretan jer sam imao slobodu birati kamo idem i što radim. Putovanje sam mi je pokazalo da mogu biti neovisan i da Hrvatska ima mnogo lijepih mjesta za istraživanje.","Last summer I traveled alone in Croatia. It was exciting, but also a little difficult because I had to organize everything by myself. First I was in Zagreb, where I visited museums and walked through the old town. After that I went by train to Split. There I enjoyed the sea, the sun, and the old Roman walls. Every day I met new people, some were tourists and some were local residents. Sometimes I felt lonely, but often I was happy because I had the freedom to choose where I went and what I did. Traveling alone showed me that I can be independent and that Croatia has many beautiful places to explore."
,Tropes,drama,B1,,
Tipično hrvatsko,Typically Croatian,culture,A1,"U Hrvatskoj je more vrlo važno i mnogi ljudi ljeti idu na obalu. Tamo plivaju, jedu ribu i piju vino. Hrvatska je poznata i po maslinovom ulju, pršutu i siru. U gradovima su stare crkve i kamene ulice. Na tržnicama se prodaje svježe voće i povrće. Nogomet je vrlo popularan i ljudi navijaju za svoju reprezentaciju. U obiteljima je važno zajedno ručati i provoditi vrijeme. Sve to je tipično hrvatsko.","In Croatia the sea is very important and many people go to the coast in the summer. There they swim, eat fish, and drink wine. Croatia is also known for olive oil, prosciutto, and cheese. In the cities there are old churches and stone streets. At markets fresh fruit and vegetables are sold. Football is very popular and people cheer for their national team. In families it is important to have lunch together and spend time together. All this is typical for Croatia."
,Unlikely Alliances in History,history,B1,,
,Unusual Modes of Transportation,travel,B1,,
,Utopias and Dystopias,drama,A2,,
,Vaccines,health,B1,,
,Vegetarian Cooking,food,B2,,
,Viruses,science,B1,,
Posjet muzeju,Visiting a Museum,monologue,A1,"Jučer sam posjetio muzej. Došao sam ujutro i kupio kartu. U muzeju sam vidio stare slike i skulpture. Bilo je i mnogo starih predmeta iz povijesti. Hodao sam kroz velike sobe i čitao kratke tekstove na zidovima. Najviše mi se svidjela velika slika s puno boja. Na kraju sam otišao u mali kafić u muzeju i popio sok. Bio sam umoran, ali sretan jer sam naučio nešto novo.",Yesterday I visited a museum. I came in the morning and bought a ticket. In the museum I saw old paintings and sculptures. There were also many old objects from history. I walked through big rooms and read short texts on the walls. What I liked most was a big picture with many colors. At the end I went to a small café in the museum and had a juice. I was tired but happy because I learned something new.
Posjet akvariju,Visiting an Aquarium,monologue,A1,"Danas sam bio u akvariju. Vidio sam mnogo riba u velikim staklenim bazenima. Ribe su bile crvene, plave i žute. Vidio sam i morskog psa, bio je velik i malo strašan. Djeca su gledala dupine i svi su se smijali. U jednom bazenu bila je kornjača koja je polako plivala. Hodao sam kroz akvarij i gledao različite životinje iz mora. Na kraju sam kupio malu igračku ribu u trgovini. Bio sam sretan jer je akvarij bio zanimljiv i lijep.","Today I was at the aquarium. I saw many fish in big glass tanks. The fish were red, blue, and yellow. I also saw a shark, it was big and a little scary. Children were watching dolphins and everyone laughed. In one tank there was a turtle that swam slowly. I walked through the aquarium and saw different sea animals. At the end I bought a small toy fish in the shop. I was happy because the aquarium was interesting and beautiful."
,Volcanoes,science,A2,,
,Weekend Plans,dialogue,A2,,
,What is Beauty?,philosophy,B2,,
Što je ljubaznost?,What is Kindness?,psychology,A1,"Ljubaznost znači biti dobar prema drugim ljudima. Kada nekome pomognemo, pokažemo ljubaznost. To može biti osmijeh, lijepa riječ ili mala pomoć u školi i na poslu. Ljubaznost ne košta ništa, ali donosi puno radosti. Kada smo ljubazni, drugi ljudi se osjećaju bolje, a i mi smo sretniji. Ljubaznost čini svijet ljepšim mjestom.","Kindness means being good to other people. When we help someone, we show kindness. It can be a smile, a nice word, or small help at school or work. Kindness costs nothing, but it brings a lot of joy. When we are kind, other people feel better, and we are happier too. Kindness makes the world a better place."
Što je politika?,What is Politics?,politics,A1,"Politika je način na koji ljudi odlučuju o važnim stvarima u društvu. U politici ljudi biraju vođe, kao što su predsjednik ili gradonačelnik. Oni donose zakone i pravila za školu, posao i život u gradu ili državi. Ljudi glasaju na izborima i tako pokazuju svoje mišljenje. Politika pomaže da svi žive zajedno i da se problemi rješavaju mirno.","Politics is the way people decide on important things in society. In politics people choose leaders, such as a president or a mayor. They make laws and rules for school, work, and life in the city or country. People vote in elections and in this way show their opinion. Politics helps everyone live together and problems to be solved peacefully."
Što je Wi-Fi?,What is Wi-Fi?,technology,A1,"Wi-Fi je bežična mreža koja povezuje telefone, računala i tablete s internetom. Kada imamo Wi-Fi, možemo gledati video, slati poruke i čitati vijesti bez kabela. Wi-Fi se nalazi u mnogim kućama, školama, kafićima i zračnim lukama. Ako je signal jak, internet radi brzo. Wi-Fi nam pomaže da ostanemo povezani s drugim ljudima i informacijama.","Wi-Fi is a wireless network that connects phones, computers, and tablets to the internet. When we have Wi-Fi, we can watch videos, send messages, and read news without cables. Wi-Fi is found in many homes, schools, cafés, and airports. If the signal is strong, the internet works fast. Wi-Fi helps us stay connected with other people and information."
,White Lies,philosophy,C,,
Zašto nas životinje čine sretnima?,Why Do Animals Make Us Happy?,psychology,A1,"Životinje nas čine sretnima jer nam daju ljubav i društvo. Pas maše repom kada vidi vlasnika i to nas veseli. Mačka se mazi i prede, pa se osjećamo mirno. Ptice svojim pjevanjem donose radost u kuću ili vrt. Kada se igramo sa životinjama, smijemo se i zaboravljamo brige. Zato mnogi ljudi kažu da životinje donose sreću u život.","Animals make us happy because they give us love and companionship. A dog wags its tail when it sees its owner and that makes us happy. A cat cuddles and purrs, and we feel calm. Birds bring joy to the house or garden with their singing. When we play with animals, we laugh and forget worries. That’s why many people say that animals bring happiness into life."
,Why I Collect Maps,monologue,B2,,
,Why Is Norway So Rainy?,science,A1,,
Zašto biljkama treba sunce,Why Plants Need Sunlight,science,A1,"Biljkama treba sunce da rastu. Uz pomoć svjetla one prave hranu za sebe. Kada ima dovoljno sunca, biljke su zelene i jake. Ako nema sunca, biljke venu i slabe. Cvijeće, drveće i povrće na polju sve trebaju sunčevu svjetlost. Sunce daje biljkama život i zato je vrlo važno.","Plants need the sun to grow. With the help of light they make food for themselves. When there is enough sun, plants are green and strong. If there is no sun, plants wither and weaken. Flowers, trees and vegetables in the field all need sunlight. The sun gives life to plants and that is why it is very important."
,Why the Sky is Blue,science,A2,,
,Why We Dream,psychology,A2,,
,"Wicked, Part I",fantasy,B1,,
,"Wicked, Part II",fantasy,B1,,
,World War I,history,B2,,
,World War II,history,B2,,
,World-Building,fantasy,B2,,
,Writing Systems,language,B1,,
,Zen Buddhism,philosophy,B2,,
