English,CEFR,gender,word,wordAudio,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted,Duplicate?
guest,A1,masculine,gost,X,osoba koja dolazi u posjet,X,Gost ulazi u kuću s poklonom u ruci.,A guest enters the house with a gift in hand.,,
"ready, finished, done",A2,adjective,gotov,X,koji je spreman; završen,X,Ručak je gotov i svi mogu jesti.,Lunch is ready and everyone can eat.,,
almost,A2,adverb,gotovo,X,skoro; malo nedostaje,X,Film je gotovo završio.,The movie is almost finished.,,
speech,A2,masculine,govor,X,usmeno izražavanje misli pred drugima,X,Njegov govor je bio kratak i jasan.,His speech was short and clear.,,
speak,A1,verb,govoriti,X,izražavati misli ili obavijesti riječima,X,Govoriš li engleski?,Do you speak English?,,
speaker,B1,masculine,govornik,X,osoba koja govori pred publikom,X,Govornik je govorio jasno i samouvjereno.,The speaker spoke clearly and confidently.,,
"city, town",A1,masculine,grad,X,veće naseljeno mjesto s brojnim zgradama i stanovnicima,X,Grad ima veliki park za djecu.,The city has a big park for children.,,
citizen,B1,masculine,građanin,X,osoba koja živi u gradu ili državi s građanskim pravima,X,Svaki građanin treba poštovati zakon.,Every citizen should obey the law.,,
citizenry,B2,neuter,građanstvo,X,skup svih građana jedne države,X,Građanstvo svake zemlje donosi i prava i odgovornosti.,Citizenship of every country brings both rights and responsibilities.,,
building,B2,feminine,građevina,X,"građevni objekt poput kuće, mosta ili tvornice",X,Stara kamena građevina svjedoči o bogatoj povijesti grada.,The old stone building testifies to the city’s rich history.,,
"construction, civil engineering",B2,neuter,građevinarstvo,X,djelatnost građenja zgrada i drugih objekata,X,Građevinarstvo ima velik utjecaj na gospodarstvo zemlje.,Construction has a major impact on the country’s economy.,,
builder,B2,masculine,graditelj,X,osoba koja gradi ili sudjeluje u izgradnji,X,Poznati graditelj projektirao je most koji povezuje dvije obale.,A famous builder designed the bridge that connects the two shores.,,
build,A2,verb,graditi,X,praviti građevine; stvarati gradove ili kuće,X,Oni žele graditi novu kuću.,They want to build a new house.,,
mayor,B1,masculine,gradonačelnik,X,osoba koja vodi gradsku upravu,X,Gradonačelnik je najavio nove projekte za grad.,The mayor announced new projects for the city.,,
"city, urban",A2,adjective,gradski,X,koji se odnosi na grad ili život u gradu,X,Vozim se gradskim autobusom na posao.,I'm taking the city bus to work.,,
"border, boundary, limit",A2,feminine,granica,X,crta koja razdvaja područja,X,Granica je blizu rijeke.,The border is near the river.,,
gravity,B1,feminine,gravitacija,X,sila koja privlači tijela prema tlu,X,Gravitacija objašnjava zašto predmeti padaju na tlo.,Gravity explains why objects fall to the ground.,,
coat of arms,B1,masculine,grb,X,označna slika koja predstavlja obitelj ili državu,X,Grb na zgradi označava službenu državnu instituciju.,The coat of arms on the building denotes an official state institution.,,
Greece,A1,feminine,Grčka,X,država na jugu europe poznata po staroj kulturi i povijesti,X,Grčka je zemlja na jugu Europe.,Greece is a country in the south of Europe.,,
Greek,B1,adjective,grčki,X,koji se odnosi na Grčku ili grčki jezik,X,Volim grčku hranu i glazbu.,I love Greek food and music.,,
Greek,B1,masculine,grčki,X,osoba podrijetlom iz Grčke,X,Grčki je težak jezik.,Greek is a difficult language.,,
"error, mistake",A2,feminine,greška,X,pogrešan postupak ili netočan rezultat,X,Napravio sam malu grešku na poslu.,I made a small mistake at work.,,
heating,B1,neuter,grijanje,X,zagrijavanje prostora,X,Grijanje u stanu uključuje se automatski kad temperatura padne.,The heating in the apartment turns on automatically when the temperature drops.,,
heat,B1,verb,grijati,X,prenositi toplinu na drugo tijelo,X,Sunce lijepo grije kroz prozor.,The sun warms beautifully through the window.,,
sinner,B2,masculine,grješnik,X,osoba koja griješi ili krši moralne norme,X,U propovijedi je govorio o ulozi grješnika u moralnoj obnovi zajednice.,"In a sermon, he spoke about the role of sinners in the moral renewal of the community.",,
"terrible, awful, horrible",A2,adjective,grozan,X,koji izaziva neugodu ili strah; ružan,X,Film je bio grozan i želim svoje vrijeme nazad.,The movie was terrible and I want my time back.,,
grapes,A2,neuter,grožđe,X,voće koje raste u grozdovima na vinovoj lozi,X,Grožđe na stolu je slatko i sočno.,The grapes on the table are sweet and juicy.,,
group,A2,feminine,grupa,X,skupina ljudi,X,Grupa učenika čeka autobus ispred škole.,A group of students is waiting for the bus in front of the school.,,
loss,B2,masculine,gubitak,X,stanje kad se nešto ili netko izgubi,X,Gubitak posla može imati snažan utjecaj na obitelj.,Losing a job can have a strong impact on the family.,,
lose,B1,verb,gubiti,X,prestajati imati ili posjedovati nešto,X,Počeo je gubiti strpljenje nakon dugog čekanja.,He began to lose patience after a long wait.,,
loser,B1,masculine,gubitnik,X,osoba koja gubi ili ne uspijeva u nečemu,X,Nitko ne voli biti gubitnik.,Nobody likes to be a loser.,,
peel,B1,verb,guliti,X,uklanjati tanki vanjski sloj hrane,X,Treba guliti krumpire prije kuhanja.,I need to peel potatoes before cooking.,,
push,A2,verb,gurati,X,pomicati predmet prema naprijed silom,X,Počeo je gurati kolica prema vratima.,He started pushing the cart towards the door.,,
"thicken, become denser",C,verb,gusnuti,X,postajati gušći,X,Smjesa počinje gusnuti tek kad se promijeni njezina unutarnja struktura.,The mixture begins to thicken only when its internal structure changes.,,
"dense, thick",A2,adjective,gust,X,koji ima veliku gustoću,X,Šuma je bila tako gusta da nismo vidjeli put.,The forest was so dense that we couldn't see the road.,,
governor,B2,masculine,guverner,X,osoba koja upravlja središnjom bankom ili pokrajinom,X,Guverner je odbio potpisati novi zakon zbog neslaganja.,The governor refused to sign a new law due to disagreement.,,
"ass, butt",C,masculine,guz,X,"stražnji dio tijela, kolokvijalno",X,Sjeo je na tvrdi stolac i odmah počeo prigovarati da ga boli guz.,He sat on a hard chair and immediately started complaining that his ass hurt.,,
butt,B2,feminine,guza,X,"stražnji dio tijela, neformalno",X,Svi su se smijali jer je pao na guzu.,Everyone laughed because he fell on his butt.,,
"ass, butt",C,feminine,guzica,X,neformalni izraz za stražnjicu,X,"Nakon pada, smijali su se jer je završio na guzici pred svima.","After falling, they laughed because he landed on his ass in front of everyone.",,
fuck,C,verb,guziti,X,spolni čin s muškarcem; vulgaran izraz,X,"U njegovim stihovima likovi se guzе bez srama, kao da tijelom pokušavaju izgovoriti ono što jezik ne može.","In his verses, the characters fuck each other shamelessly, as if they were trying to say with their bodies what language cannot.",,X
crowd,A2,feminine,gužva,X,veliki broj ljudi ili predmeta na malom prostoru,X,U tramvaju je bila velika gužva.,There was a big crowd on the tram.,,
crowd,B1,expression,gužvati se,X,nalaziti se u velikom broju ljudi na istom mjestu,X,U autobusu smo se svi gužvali jer nije bilo mjesta.,We were all packed tightly on the bus because there was no space.,,
"come on, let's go",A1,interjection,"hajde, ajde",X,riječ kojom se potiče nekoga na kretanje ili djelovanje,X,"Hajde, idemo!","Come on, let’s go!",,
"let's go, come on",A1,interjection,hajdemo,X,riječ kojom se predlaže zajedničko kretanje ili djelovanje,X,Hajdemo u park.,Let’s go to the park.,,
dress,A1,feminine,haljina,X,odjevni predmet za žene koji prekriva tijelo od ramena do nogu,X,Haljina je crvena.,The dress is red.,,
hardware,B1,masculine,hardver,X,fizička računalna oprema,X,Hardver računala treba redovito održavati.,The computer hardware needs regular maintenance.,,
Hebrew,B2,adjective,hebrejski,X,koji se odnosi na hebrejski jezik ili židovsku kulturu,X,On proučava hebrejski rukopis iz antike.,He is studying a Hebrew manuscript from antiquity.,,
Hebrew,B2,masculine,hebrejski,X,osoba koja govori hebrejski jezik,X,Ona studira hebrejski na sveučilištu.,She is studying Hebrew at the university.,,
hematology,C,feminine,hematologija,X,znanost o krvi i krvnim bolestima,X,Hematologija se bavi složenim istraživanjima poremećaja u krvotvornom sustavu i razvija nove terapijske pristupe.,Hematology deals with complex research of disorders in the blood-forming system and develops new therapeutic approaches.,,
hemisphere,B2,feminine,hemisfera,X,polovica kugle Zemlje ili nebeskog tijela,X,Zemlja se dijeli na sjevernu i južnu hemisferu.,The Earth is divided into the northern and southern hemispheres.,,
hero,A2,masculine,heroj,X,osoba koja pokazuje iznimnu hrabrost,X,On je pravi heroj za svoju obitelj.,He is a true hero to his family.,,
thousand,B1,numeral,hiljada,X,broj koji označuje tisuću jedinica,X,Na koncertu je bilo više od hiljadu ljudi.,There were more than a thousand people at the concert.,,
"national anthem, anthem, hymn",A2,feminine,himna,X,svečana pjesma,X,Himna je počela svirati prije utakmice.,The national anthem started playing before the game.,,
hyperactive,B2,adjective,hiperaktivan,X,koji pokazuje pretjeranu aktivnost,X,Njegov hiperaktivan ritam otežava praćenje rasporeda.,His hyperactive rhythm makes it difficult to follow the schedule.,,
urgent,B1,adjective,hitan,X,koji zahtijeva brzu reakciju,X,Imali su hitan sastanak zbog neplaniranog problema.,They had an emergency meeting due to an unplanned problem.,,
urgently,A2,adverb,hitno,X,bez odgode,X,Moram hitno kupiti lijek u ljekarni.,I need to buy medicine urgently at the pharmacy.,,
pants,A1,feminine,hlače,X,odjevni predmet koji pokriva obje noge od struka prema dolje,X,Hlače su plave.,The pants are blue.,,
shade,A2,masculine,hlad,X,mjesto zaklonjeno od sunca,X,Sjedimo u hladu ispod velikog stabla.,We are sitting in the shade under a big tree.,,
cold,A1,adjective,hladan,X,koji ima nisku temperaturu,X,Vjetar je hladan u prosincu.,The wind is cold in December.,,
cool,B1,verb,hladiti,X,snižavati temperaturu,X,Ventilator je počeo hladiti sobu nakon nekoliko minuta.,The fan started cooling the room after a few minutes.,,
"refrigerator, fridge",A2,masculine,hladnjak,X,uređaj za hlađenje i čuvanje hrane,X,U hladnjaku čuvamo voće i povrće da ostane svježe.,We keep fruit and vegetables in the refrigerator so they stay fresh.,,
"coldness, cold",B1,feminine,hladnoća,X,nizak stupanj temperature; osjećaj hladnoće,X,Hladnoća zraka u planinama brzo prodire kroz odjeću.,The coldness of the air in the mountains quickly penetrates through clothing.,,
shade,B1,feminine,hladovina,X,mjesto zaklonjeno od sunca; hladovina,X,U hladovini drveta bilo je ugodno sjediti.,It was pleasant to sit in the cool shade of the tree.,,
hop,C,masculine,hmelj,X,biljka koja se koristi za aromu u pivu,X,Hmelj daje pivu gorčinu i aromu po kojoj se prepoznaje.,Hops give beer the bitterness and aroma by which it’s recognized.,,
hobby,A2,masculine,hobi,X,zanimacija u slobodno vrijeme,X,Moj hobi je fotografija.,My hobby is photography.,,
walk,A1,verb,hodati,X,kretati se nogama u uspravnom položaju,X,Volim hodati po parku.,I like to walk in the park.,,
"hallway, corridor",A2,masculine,hodnik,X,prostor u kući ili zgradi koji spaja sobe,X,Hodnik je dug i uzak.,The hallway is long and narrow.,,
hockey,A2,masculine,hokej,X,sport na ledu s palicama,X,Navečer gledamo hokej na televiziji.,"In the evening, we watch hockey on TV.",,
homosexual,C,adjective,homoseksualac,X,osoba homoseksualne orijentacije,X,U javnom diskursu riječ homoseksualac često nosi kliničan prizvuk i sve se više zamjenjuje neutralnijim izrazom gej.,In public discourse the word homosexual often carries a clinical tone and is increasingly being replaced by the more neutral term gay.,,
homosexuality,B2,feminine,homoseksualnost,X,seksualna sklonost prema osobama istog spola,X,Homoseksualnost se danas sve češće prihvaća bez predrasuda.,Homosexuality is increasingly accepted today without prejudice.,,
hotel,A1,masculine,hotel,X,zgrada u kojoj ljudi privremeno borave i prespavaju,X,Hotel ima restoran u prizemlju.,The hotel has a restaurant on the ground floor.,,
"brave, courageous",A2,adjective,hrabar,X,koji pokazuje hrabrost,X,Bio je hrabar i pomogao djevojčici.,He was brave and helped the little girl.,,
"bravery, courage",B1,feminine,hrabrost,X,sposobnost suočavanja s opasnošću,X,Njegova hrabrost bila je ključna u spašavanju putnika.,His bravery was crucial in saving the passengers.,,
food,A1,feminine,hrana,X,sve što se jede ili pije radi održavanja života,X,Hrana u ovom restoranu je jako dobra.,The food in this restaurant is very good.,,
oak,A2,masculine,hrast,X,vrsta listopadnog stabla,X,Stari hrast daje hlad cijelom dvorištu.,An old oak tree shaded the entire yard.,,
"Croat, Croatian person",A1,masculine,Hrvat,X,muška osoba koja pripada hrvatskom narodu,X,On je Hrvat.,He is a Croat.,,
Croatia,A1,feminine,Hrvatska,X,država u jugoistočnoj europi na obali jadranskog mora,X,Hrvatska je lijepa zemlja.,Croatia is a beautiful country.,,
Croatian,A1,masculine,hrvatski,X,jezik kojim se govori u Hrvatskoj,X,Hrvatski je moj omiljeni predmet u školi.,Croatian is my favorite subject at school.,,
Croatian,A1,adjective,hrvatski,X,"koji se odnosi na ljude, jezik ili kulturu Hrvatske",X,Hrvatski Sabor je u Zagrebu.,The Croatian Parliament is in Zagreb.,Ona je hrvatski učitelj.,
"will, be going to",A2,verb,htjeti,X,imati želju ili namjeru nešto učiniti,X,Sutra ću posjetiti prijatelja u gradu.,Tomorrow I will visit my friend in the city.,,
hooliganism,B2,neuter,huliganstvo,X,nasilno i bezobzirno ponašanje u javnosti,X,Huliganstvo na stadionu dovelo je do novih sigurnosnih mjera.,Hooliganism in the stadium led to new security measures.,,
"thank you, thanks",A1,interjection,hvala,X,riječ kojom se izražava zahvalnost,X,"Hvala, ovo mi stvarno pomaže.","Thank you, this really helps me.",,
praise,B1,verb,hvaliti,X,izražavati pohvalu ili priznanje,X,Djeca su hvalila učiteljicu nakon predstave.,The children praised the teacher after the play.,,
and,A1,conjunction,i,X,veznik koji povezuje riječi ili rečenice u značenju dodavanja,X,Kupujem jabuku i bananu.,I’m buying an apple and a banana.,,
"although, even though",A2,conjunction,iako,X,iako nešto stoji u suprotnosti s drugim,X,"Iako sam bio umoran, završio sam sve zadatke.","Although I was tired, I finished all the tasks.",,
go,A1,verb,ići,X,kretati se od jednog mjesta prema drugom,X,Idem kući.,I am going home.,,
idea,A2,feminine,ideja,X,ono što netko misli ili planira,X,Imam ideju kako možemo riješiti ovaj zadatak.,I have an idea how we can solve this task.,,
identical,B2,adjective,identičan,X,koji je potpuno isti po obliku ili sadržaju,X,Njihovi odgovori bili su gotovo identični.,Their answers were almost identical.,,
identify,C,verb,identificirati,X,prepoznati ili utvrditi identitet nečega ili nekoga,X,Policija je uspjela identificirati počinitelja pomoću DNK analize.,The police managed to identify the perpetrator using DNA analysis.,,
identification,C,feminine,identifikacija,X,postupak utvrđivanja identiteta osobe ili stvari,X,Za ulazak u zgradu potrebna je službena identifikacija s fotografijom.,"To enter the building, official identification with a photo is required.",,
identity,B2,masculine,identitet,X,osobnost ili pripadnost kojom se netko razlikuje od drugih,X,Mladi često istražuju vlastiti identitet.,Young people often explore their own identity.,,
ideology,B2,feminine,ideologija,X,skup ideja koje objašnjavaju društvo ili politiku,X,Politička ideologija oblikuje način na koji društvo funkcionira.,Political ideology shapes the way society functions.,,
next,B1,adjective,idući,X,koji dolazi nakon sadašnjeg ili prethodnog,X,Idući tjedan počinje nova školska godina.,Next week the new school year begins.,,
game,A1,feminine,igra,X,aktivnost zabavnog ili natjecateljskog karaktera,X,Igra traje cijelo popodne.,The game lasts all afternoon.,,
player,A2,masculine,igrač,X,osoba koja sudjeluje u igri,X,Svaki igrač ima svoju ulogu u timu.,Each player has a role on the team.,,
toy,A1,feminine,igračka,X,"predmet za igru, najčešće za djecu",X,Dijete se igra novom igračkom.,The child is playing with a new toy.,,
playground,A2,neuter,igralište,X,prostor namijenjen dječjoj igri na otvorenom,X,Djeca se igraju na igralištu.,The children are playing on the playground.,,
dance,A2,feminine,igranka,X,zabava uz glazbu i ples,X,Igranka u školi trajala je do ponoći.,The dance at school lasted until midnight.,,
play,A1,verb,igrati,X,sudjelovati u sportskoj ili zabavnoj aktivnosti,X,Djeca vole igrati nogomet.,Children like to play football.,,
play,A1,expression,igrati se,X,sudjelovati u dječjoj ili zabavnoj aktivnosti radi igre,X,Djeca vole igrati se u parku.,Children like to play in the park.,,
any,B1,adjective,ijedan,X,bilo koji primjerak iz određene skupine,X,Nemam ijedan odgovor.,I don't have any answers.,,
"ever, even once",B2,adverb,ijedanput,X,jednom u životu; makar i samo jedanput,X,Nisam ga vidio ijedanput ove godine.,I haven't seen him once this year.,,
any,B2,adjective,ikakav,X,koji uopće postoji u bilo kojem obliku,X,"Ako imaš ikakav dokaz, pokaži ga sada.","If you have any proof, show it now.",,
"anyone, anybody",B2,pronoun,iko,X,bilo koja osoba bez određivanja identiteta,X,Nisam siguran je li iko razumio što je htio reći.,I'm not sure if anyone understood what he meant.,,
iconostas,C,masculine,ikonostas,X,pregrada s ikonama u pravoslavnim crkvama,X,Ikonostas u toj pravoslavnoj crkvi nije samo arhitektonski element nego i vizualna teološka sinteza vjere.,The iconostasis in that Orthodox church is not only an architectural element but also a visual theological synthesis of faith.,,
illegal,B1,adjective,ilegalan,X,koji nije dopušten zakonom,X,Prodaja droge je ilegalan posao.,Drug dealing is an illegal business.,,
or,A1,conjunction,ili,X,veznik koji povezuje mogućnosti u značenju izbora,X,Piješ vodu ili sok?,Do you drink water or juice?,,
have,A1,verb,imati,X,posjedovati nešto ili se nalaziti u nekom stanju,X,Imam dvije sestre.,I have two sisters.,,
name,A1,neuter,ime,X,riječ koja označava osobnu oznaku po kojoj se netko razlikuje od drugih,X,Moje ime je Marko.,My name is Marko.,,
immigration,B2,feminine,imigracija,X,dolazak stranaca u novu zemlju radi stalnog boravka,X,Imigracija je značajno promijenila demografsku sliku zemlje.,Immigration has significantly changed the country’s demographic picture.,,
immigrant,B2,masculine,imigrant,X,osoba koja dolazi živjeti u stranu zemlju,X,Svaki imigrant mora proći postupak registracije po dolasku.,Every immigrant must go through a registration process upon arrival.,,
immigrate,B2,verb,imigrirati,X,preseliti se u drugu zemlju radi stalnog boravka,X,Njegova obitelj odlučila je imigrirati zbog boljih uvjeta života.,His family decided to immigrate for better living conditions.,,
empire,B1,masculine,imperij,X,velika država koja upravlja mnogim narodima i područjima,X,Rimski imperij trajao je stoljećima i ostavio snažan utjecaj na Europu.,The Roman Empire lasted for centuries and left a strong influence on Europe.,,
industry,B1,feminine,industrija,X,grana gospodarstva koja proizvodi robu ili pruža usluge pomoću strojeva,X,Turizam je važan dio hrvatske industrije.,Tourism is an important part of the Croatian industry.,,
industrial,B1,adjective,industrijski,X,koji je vezan uz industriju,X,Grad ima dugu industrijsku tradiciju.,The city has a long industrial tradition.,,
industrially,B2,adverb,industrijski,X,na način svojstven industriji,X,Tvrtka planira industrijski povećati proizvodnju tijekom sljedeće godine.,The company plans to increase production industrially over the next year.,,
infection,B1,feminine,infekcija,X,prodor mikroorganizama u organizam,X,Infekcija se proširila jer je liječenje kasnilo.,The infection has spread because the treatment was delayed.,,
inflation,B1,feminine,inflacija,X,porast opće razine cijena,X,Inflacija je povećala cijene osnovnih proizvoda.,Inflation has increased the prices of basic products.,,
information,B2,feminine,informacija,X,podatak ili znanje koje se prenosi o nečemu,X,Pouzdana informacija ključna je za donošenje odluka.,Reliable information is crucial for making decisions.,,
initiative,B2,feminine,inicijativa,X,iniciranje neke aktivnosti,X,Inicijativa je pokrenuta kako bi se poboljšala transparentnost procesa.,The initiative was launched to improve the transparency of the process.,,
foreign,B2,adjective,inozemni,X,koji potječe iz druge države,X,Inozemni studenti donose različite perspektive na predavanja.,Foreign students bring different perspectives to lectures.,,
abroad,B2,neuter,inozemstvo,X,boravak izvan vlastite države,X,Inozemstvo mu se činilo privlačno zbog boljih mogućnosti.,Abroad seemed attractive to him because of the better opportunities.,,
instinct,B2,masculine,instinkt,X,unutarnji poriv da se djeluje bez razmišljanja,X,Instinkt mu je rekao da situacija nije sigurna.,His instinct told him the situation was not safe.,,
institution,B2,feminine,institucija,X,službena ustanova s određenom društvenom funkcijom,X,Škola je važna institucija u životu svakog djeteta.,School is an important institution in every child’s life.,,
intelligence,B2,feminine,inteligencija,X,"sposobnost razumijevanja, zaključivanja i učenja",X,Inteligencija je ključna u rješavanju složenih problema.,Intelligence is crucial in solving complex problems.,,
"intelligent, smart",B1,adjective,inteligentan,X,koji brzo i točno razmišlja ili rješava probleme,X,On je vrlo inteligentan student i brzo uči.,He is a very intelligent student and learns quickly.,,
interest,B1,masculine,interes,X,zanimanje ili sklonost prema nekoj temi,X,Njegov interes za glazbu počeo je još u djetinjstvu.,His interest in music began in childhood.,,
internet,A1,masculine,internet,X,globalna mreža povezanih računala za razmjenu informacija,X,Internet koristim za učenje hrvatskog jezika.,I use the internet to learn the Croatian language.,,
interview,A2,masculine,intervju,X,razgovor radi dobivanja informacija,X,Čitam intervju s poznatim glumcem.,I'm reading an interview with a famous actor.,,
interview,B2,verb,intervjuirati,X,obaviti razgovor radi prikupljanja informacija,X,Intervjuirali su ga kako bi dobili detaljniji uvid u istraživanje.,They interviewed him to get a more detailed insight into the research.,,
investment,B2,feminine,investicija,X,ulaganje novca u nešto radi buduće dobiti,X,Kupnja nove opreme smatra se dobrom investicijom.,Buying new equipment is considered a good investment.,,
invest,B2,verb,investirati,X,uložiti novac ili sredstva radi dobiti u budućnosti,X,Planira investirati novac u obnovljive izvore energije.,He plans to invest money in renewable energy sources.,,
still,B1,adverb,ipak,X,"unatoč tome, ipak, bez obzira na prepreku",X,Ipak sam odlučio pokušati ponovno.,"Still, I decided to try again.",,
irrational,B2,adjective,iracionalan,X,koji nije u skladu s razumom,X,Njegov strah bio je potpuno iracionalan s obzirom na okolnosti.,His fear was completely irrational given the circumstances.,,
"outcome, result",B2,masculine,ishod,X,krajnji rezultat nekog procesa,X,Ishod pregovora bio je bolji nego što su očekivali.,The outcome of the negotiations was better than they expected.,,
turn off,B1,verb,isključiti,X,prekinuti rad uređaja ili dovod energije,X,Isključila sam mobitel jer sam htjela mir.,I turned off my cell phone because I wanted peace.,,
experience,B2,verb,iskusiti,X,steknuti znanje ili vještinu kroz iskustvo,X,Svatko bi trebao iskusiti život u drugoj zemlji barem jednom.,Everyone should experience life in another country at least once.,,
experience,B1,neuter,iskustvo,X,znanje stečeno osobnim doživljajem ili praksom,X,Svako iskustvo nas nečemu nauči.,Every experience teaches us something.,,
"print, print out",B2,verb,ispisati,X,isprintati tekst ili slike pomoću pisača,X,Student je morao ispisati rad prije roka za predaju.,A student had to submit a paper before the deadline.,,
"exam, examination, test",A2,masculine,ispit,X,pisani ili usmeni provjerav znanja,X,Ispit iz matematike bio je težak.,The math exam was difficult.,,
examine,B2,verb,ispitati,X,detaljno ispitati nešto ili nekoga,X,Treba ispitati sve okolnosti prije donošenja odluke.,All circumstances must be examined before a decision is made.,,
"underneath, below, under, beneath",A1,preposition,ispod,X,prijedlog koji označava položaj ispod nečega,X,Mačka je ispod stola.,The cat is underneath the table.,,
correct,B1,adjective,ispravan,X,koji nema pogreške; točan,X,Nisam siguran je li tvoj odgovor ispravan.,I'm not sure if your answer is correct.,,
"in front of, before",A2,preposition,ispred,X,ispred; na prednjem mjestu,X,Auto stoji ispred kuće.,The car is standing in front of the house.,,
drop,B1,verb,ispustiti,X,ispustiti iz ruku ili iz položaja,X,"Ispustio je mobitel, ali se nije razbio.","He dropped his cell phone, but it didn't break.",,
anything,B1,pronoun,išta,X,bilo što bez ograničenja,X,Nisam čuo išta zanimljivo na tom sastanku.,I didn't hear anything interesting at that meeting.,,
expire,B2,verb,isteći,X,prestati vrijediti,X,Rok za prijavu uspio je isteći prije nego što smo završili dokumentaciju.,The application deadline managed to expire before we finished the paperwork.,,
expiration,B2,masculine,istek,X,vrijeme nakon kojega nešto prestaje vrijediti,X,Istek ugovora otvorio je mogućnost ponovnog pregovaranja uvjeta.,The expiration of the contract opened up the possibility of renegotiating the terms.,,
same,A2,adjective,isti,X,koji je jednak drugome,X,Nosimo iste majice za zabavu.,We’re wearing the same shirts for the party.,,
truth,B1,feminine,istina,X,ono što se smatra točnim ili stvarnim,X,Istina je ponekad teška za prihvatiti.,The truth is sometimes hard to accept.,,
"true, truthful",B2,adjective,istinit,X,"koji odgovara stvarnosti, točan",X,Iskazao je istinitu priču o svom životu.,He told a true story about his life.,,
eastern,B1,adjective,istočni,X,koji se nalazi na strani gdje izlazi Sunce,X,Na istočnoj obali ima mnogo turističkih mjesta.,On the eastern coast there are many tourist places.,,
"simultaneous, of the same age",B2,adjective,istodoban,X,koji pripada istom vremenu; suvremen,X,"Učenici su istodobni u godinama, ali različiti po interesima.",The students are the same age but different in interests.,,
simultaneously,B2,adverb,istodobno,X,u isto vrijeme; istovremeno,X,Dvije predstave održavale su se istodobno u različitim dvoranama.,Two performances were held simultaneously in different halls.,,
east,A2,masculine,istok,X,strana svijeta gdje izlazi sunce,X,Sunce izlazi na istoku.,The sun rises in the east.,,
"research, investigation",C,neuter,istraživanje,X,sustavno proučavanje neke pojave radi novog znanja,X,Istraživanje je pokazalo nove podatke o bolesti.,The research showed new data about the disease.,,
"explore, research",B1,verb,istraživati,X,istraživati pojave radi stjecanja novih saznanja,X,Znanstvenici istražuju utjecaj klime na poljoprivredu.,Scientists are researching the impact of climate on agriculture.,,
Italy,A1,feminine,Italija,X,država u južnoj europi s glavnim gradom Rimom,X,Italija ima mnogo starih gradova.,Italy has many old towns.,,
"anyone, anybody",B1,pronoun,itko,X,bilo koja osoba,X,Ne poznajem itko tko bi to mogao učiniti.,I don't know anyone who could do that.,,
"from, out of",A1,preposition,iz,X,prijedlog koji označava podrijetlo ili smjer kretanja,X,Dolazim iz Zagreba.,I come from Zagreb.,,
"behind, after",A2,preposition,iza,X,iza; na stražnjem mjestu,X,Pas spava iza kreveta.,The dog is sleeping behind the bed.,,
choose,B2,verb,izabirati,X,birati između više mogućnosti više puta,X,On često zna izabirati teže putove.,He often chooses harder paths.,,
choose,B1,verb,izabrati,X,odabrati nešto između više mogućnosti,X,Moram izabrati pravi fakultet.,I have to choose the right faculty.,,
"go out, exit",A2,verb,izaći,X,napustiti zatvoreni prostor i otići van,X,Izašli smo u šetnju nakon ručka.,We went for a walk after lunch.,,
challenge,B1,masculine,izazov,X,težak zadatak koji traži trud ili hrabrost,X,Penjanje na planinu bio je pravi izazov.,Climbing the mountain was a real challenge.,,
challenging,B2,adjective,izazovan,X,koji traži napor ili predstavlja izazov,X,To je bio izazovan projekt koji je tražio mnogo truda.,It was a challenging project that required a lot of effort.,,
"cause, spark, provoke",B2,verb,izazvati,X,uzrokovati da se nešto dogodi ili izazove reakciju,X,Njegove su riječi izazvale burnu raspravu među sudionicima.,His words caused a heated discussion among the participants.,,
throw out,A2,verb,izbaciti,X,izbaciti nešto ili nekoga iz prostora,X,Morali su izbaciti stari namještaj iz stana.,They had to throw out the old furniture from the apartment.,,
throw out,B1,verb,izbacivati,X,ponavljano izbacivati nešto ili nekoga,X,Često izbacivam stare papire iz radnog stola.,I often throw old papers off my desk.,,
"bulge, bump, protrusion",B2,feminine,izbočina,X,izbočeni dio na površini,X,Na zidu se pojavila mala izbočina nakon vlage.,A small bulge appeared on the wall after the humidity.,,
bulge out,B2,expression,izbočiti se,X,istaknuti se prema van,X,Cijev se počela izbočiti se zbog previsokog pritiska.,A pipe began to bulge due to excessive pressure.,,
"choice, election",B1,masculine,izbor,X,proces biranja između više opcija,X,Izbor predsjednika održava se svake četiri godine.,The presidential election is held every four years.,,
exhale,B2,verb,izdahnuti,X,"izdahnuti posljednji put, prestati disati",X,Starac je tiho izdahnuo nakon duge bolesti.,The old man quietly breathed his last after a long illness.,,
exhale,C,verb,izdisati,X,izdahnuti polako i više puta,X,"Pacijent je počeo teško izdisati, što je ukazivalo na ozbiljan problem s plućima.","The patient began to exhale heavily, which indicated a serious problem with the lungs.",,
"appearance, outlook, look",A2,masculine,izgled,X,vanjski izgled osobe ili stvari,X,Njegov izgled se promijenio nakon ljeta.,His appearance changed after the summer.,,
"look, look like",A2,verb,izgledati,X,imati određen izgled ili dojam,X,Ona danas izgleda sretno.,She looks happy today.,,
pronounce,B1,verb,izgovarati,X,izgovarati riječi naglas,X,Djeca uče pravilno izgovarati teške riječi.,Children are learning to pronounce difficult words correctly.,,
